node,in_degree,out_degree,incoming_transactions,outgoing_transactions,total_in_amount,total_out_amount,shared_device,multi_hop_routing,pass_through_ratio,max_fanout_counterparties,high_velocity_fanout,high_in_degree,high_value_flow,anomaly_flag,anomaly_score,risk_score,risk_reasons,risk_tier,scoring_model_version
9889801878,1,2,1,2,48000.0,47000.0,True,True,0.979,2,True,False,True,-1,0.2435,85,shared device; rapid pass through; rapid fanout; high value flow; behavioural outlier,HIGH,2026.09.1
9120560038,1,1,1,1,22000.0,21000.0,True,True,0.955,1,False,False,False,-1,0.2107,60,shared device; rapid pass through; behavioural outlier,HIGH,2026.09.1
9453985457,9,18,9,18,8750.0,21520.0,False,True,0.8,2,True,False,False,-1,0.0181,55,rapid pass through; rapid fanout; behavioural outlier,HIGH,2026.09.1
9105343128,16,12,16,12,32935.0,10025.0,False,False,0.0,2,True,True,True,-1,0.0206,50,rapid fanout; unusually high fanin; high value flow; behavioural outlier,MEDIUM,2026.09.1
9821259825,16,7,16,7,17060.0,3375.0,False,True,1.098,1,False,True,False,1,-0.0695,45,rapid pass through; unusually high fanin,MEDIUM,2026.09.1
9368290911,17,10,17,10,18060.0,6930.0,False,False,0.0,2,True,True,False,-1,0.0001,40,rapid fanout; unusually high fanin; behavioural outlier,MEDIUM,2026.09.1
9533492995,21,11,21,11,17160.0,7975.0,False,False,0.0,2,True,True,False,-1,0.0451,40,rapid fanout; unusually high fanin; behavioural outlier,MEDIUM,2026.09.1
9000812852,12,8,12,9,6405.0,28800.0,False,False,0.0,2,True,False,True,-1,0.0416,35,rapid fanout; high value flow; behavioural outlier,MEDIUM,2026.09.1
9052116857,12,16,12,16,6890.0,17835.0,False,True,0.802,1,False,False,False,1,-0.1495,30,rapid pass through,MEDIUM,2026.09.1
9257827965,11,15,11,15,20640.0,12245.0,False,True,0.791,1,False,False,False,1,-0.1476,30,rapid pass through,MEDIUM,2026.09.1
9998681300,10,14,10,14,9595.0,15920.0,False,True,1.173,1,False,False,False,1,-0.1713,30,rapid pass through,MEDIUM,2026.09.1
9028267486,16,4,16,4,21800.0,4730.0,False,False,0.0,1,False,True,False,-1,0.0239,25,unusually high fanin; behavioural outlier,LOW,2026.09.1
9035922148,7,16,7,16,7975.0,15640.0,False,False,0.0,2,True,False,False,-1,0.0183,25,rapid fanout; behavioural outlier,LOW,2026.09.1
9040444112,18,6,18,6,37980.0,7490.0,False,False,0.0,1,False,True,True,1,-0.0052,25,unusually high fanin; high value flow,LOW,2026.09.1
9120335120,17,5,19,5,18910.0,1865.0,False,False,0.0,1,False,True,False,-1,0.0568,25,unusually high fanin; behavioural outlier,LOW,2026.09.1
9189008337,19,9,19,9,30285.0,5470.0,False,False,0.0,1,False,True,True,1,-0.0536,25,unusually high fanin; high value flow,LOW,2026.09.1
