entity_id,entity_type,imei,imsi,timestamp,tower_id,source_file
9904220310,phone,IMEI-2722872527,IMSI-2398195726,2026-08-08T19:22:00,TWR-156,telecom_cdr.csv
9677217388,phone,IMEI-8717105032,IMSI-9266491300,2026-07-21T07:06:00,TWR-143,telecom_cdr.csv
9419499003,phone,IMEI-4927002694,IMSI-4402857394,2026-08-19T07:30:00,TWR-106,telecom_cdr.csv
9204871729,phone,IMEI-9592712584,IMSI-1866308160,2026-08-16T20:53:00,TWR-154,telecom_cdr.csv
9723948025,phone,IMEI-0710359181,IMSI-0826371021,2026-07-27T22:23:00,TWR-168,telecom_cdr.csv
9790275345,phone,IMEI-7129712637,IMSI-2343745828,2026-07-21T01:40:00,TWR-177,telecom_cdr.csv
9993223299,phone,IMEI-5377169903,IMSI-7137375657,2026-07-10T11:27:00,TWR-113,telecom_cdr.csv
9328566276,phone,IMEI-4171456569,IMSI-4413361718,2026-08-16T03:09:00,TWR-171,telecom_cdr.csv
9014685172,phone,IMEI-5531176811,IMSI-1537511506,2026-07-31T08:03:00,TWR-130,telecom_cdr.csv
9485267539,phone,IMEI-9023724787,IMSI-3090571081,2026-08-23T23:25:00,TWR-128,telecom_cdr.csv
9123825217,phone,IMEI-7188595163,IMSI-9914575113,2026-07-29T13:09:00,TWR-137,telecom_cdr.csv
9233839146,phone,IMEI-6759945492,IMSI-2643409792,2026-08-18T09:02:00,TWR-120,telecom_cdr.csv
9108252674,phone,IMEI-8973790545,IMSI-4816752486,2026-08-26T17:53:00,TWR-131,telecom_cdr.csv
9327371243,phone,IMEI-0706366806,IMSI-9463467046,2026-07-08T21:45:00,TWR-111,telecom_cdr.csv
9623701950,phone,IMEI-1007524639,IMSI-3459351007,2026-07-01T20:43:00,TWR-143,telecom_cdr.csv
9220969700,phone,IMEI-2355180961,IMSI-2592684647,2026-08-09T04:45:00,TWR-161,telecom_cdr.csv
9874249954,phone,IMEI-4200352328,IMSI-3148847499,2026-08-27T20:28:00,TWR-149,telecom_cdr.csv
9106672436,phone,IMEI-7571316002,IMSI-9913913475,2026-08-26T10:28:00,TWR-105,telecom_cdr.csv
9622739459,phone,IMEI-2489524924,IMSI-8155071615,2026-07-05T23:47:00,TWR-165,telecom_cdr.csv
9036057232,phone,IMEI-9429354641,IMSI-9250384488,2026-07-27T22:46:00,TWR-164,telecom_cdr.csv
9891712996,phone,IMEI-2417841663,IMSI-9782591182,2026-07-11T20:57:00,TWR-191,telecom_cdr.csv
9153514440,phone,IMEI-2811772442,IMSI-9051485715,2026-07-09T14:54:00,TWR-189,telecom_cdr.csv
9084209783,phone,IMEI-7684964261,IMSI-7877783732,2026-07-04T18:25:00,TWR-122,telecom_cdr.csv
9199646627,phone,IMEI-8703526006,IMSI-2286385757,2026-08-04T00:47:00,TWR-107,telecom_cdr.csv
9714322405,phone,IMEI-2563370156,IMSI-2549786229,2026-08-05T09:02:00,TWR-176,telecom_cdr.csv
9950712865,phone,IMEI-7429481661,IMSI-9887989570,2026-08-11T17:40:00,TWR-173,telecom_cdr.csv
9993223299,phone,IMEI-5377169903,IMSI-7137375657,2026-07-20T06:28:00,TWR-199,telecom_cdr.csv
9961618335,phone,IMEI-5752734493,IMSI-8298823460,2026-07-15T23:26:00,TWR-125,telecom_cdr.csv
9790275345,phone,IMEI-7129712637,IMSI-2343745828,2026-08-01T18:55:00,TWR-102,telecom_cdr.csv
9559321940,phone,IMEI-7522970723,IMSI-5449490568,2026-08-21T19:31:00,TWR-182,telecom_cdr.csv
9954882339,phone,IMEI-9986404688,IMSI-6508308241,2026-07-07T18:42:00,TWR-162,telecom_cdr.csv
9921873448,phone,IMEI-5665790813,IMSI-0402416184,2026-08-02T04:59:00,TWR-124,telecom_cdr.csv
9234395369,phone,IMEI-6790078680,IMSI-6560719571,2026-08-22T21:09:00,TWR-102,telecom_cdr.csv
9968318989,phone,IMEI-2473063861,IMSI-6996267363,2026-08-15T15:51:00,TWR-196,telecom_cdr.csv
9127967516,phone,IMEI-2146882817,IMSI-9733129100,2026-07-09T21:12:00,TWR-118,telecom_cdr.csv
9965191353,phone,IMEI-5893787421,IMSI-6214960586,2026-07-22T19:41:00,TWR-115,telecom_cdr.csv
9859713678,phone,IMEI-7927657928,IMSI-4020734838,2026-07-04T22:15:00,TWR-193,telecom_cdr.csv
9098713669,phone,IMEI-0583990102,IMSI-7629708285,2026-07-10T18:09:00,TWR-163,telecom_cdr.csv
9350335680,phone,IMEI-5155214360,IMSI-3276562475,2026-07-22T23:25:00,TWR-120,telecom_cdr.csv
9763462687,phone,IMEI-0158770989,IMSI-9062509835,2026-08-28T06:13:00,TWR-132,telecom_cdr.csv
9420863611,phone,IMEI-4537963191,IMSI-3558536002,2026-08-29T09:12:00,TWR-199,telecom_cdr.csv
9323687193,phone,IMEI-3470857301,IMSI-1027718079,2026-07-23T02:38:00,TWR-156,telecom_cdr.csv
9200234695,phone,IMEI-3610403394,IMSI-1168400464,2026-07-08T02:18:00,TWR-116,telecom_cdr.csv
9594924991,phone,IMEI-3630121292,IMSI-8018351121,2026-08-28T01:14:00,TWR-114,telecom_cdr.csv
9468349143,phone,IMEI-3914369758,IMSI-1719948146,2026-08-14T21:39:00,TWR-171,telecom_cdr.csv
9198393549,phone,IMEI-3816300190,IMSI-6270974989,2026-08-19T07:28:00,TWR-103,telecom_cdr.csv
9480993572,phone,IMEI-2381321447,IMSI-8222237676,2026-07-16T14:42:00,TWR-181,telecom_cdr.csv
9814488986,phone,IMEI-8402450836,IMSI-9997976132,2026-08-23T15:25:00,TWR-193,telecom_cdr.csv
9872663192,phone,IMEI-6090316066,IMSI-6630000599,2026-08-07T13:56:00,TWR-100,telecom_cdr.csv
9052248897,phone,IMEI-9323304340,IMSI-9102154726,2026-07-23T04:16:00,TWR-143,telecom_cdr.csv
9428025968,phone,IMEI-5595534505,IMSI-3593963620,2026-07-07T03:30:00,TWR-138,telecom_cdr.csv
9210244612,phone,IMEI-6189465100,IMSI-7205358651,2026-07-02T18:46:00,TWR-124,telecom_cdr.csv
9683509307,phone,IMEI-2052204318,IMSI-5650646676,2026-08-13T13:32:00,TWR-108,telecom_cdr.csv
9188180702,phone,IMEI-9453874896,IMSI-7885652348,2026-08-03T08:55:00,TWR-188,telecom_cdr.csv
9563850020,phone,IMEI-6954138012,IMSI-9172128616,2026-07-21T11:06:00,TWR-171,telecom_cdr.csv
9666442915,phone,IMEI-0804775625,IMSI-2115641857,2026-08-17T17:11:00,TWR-122,telecom_cdr.csv
9432789553,phone,IMEI-7581615382,IMSI-6059787584,2026-07-28T23:28:00,TWR-169,telecom_cdr.csv
9943604188,phone,IMEI-6668635297,IMSI-7520017429,2026-07-13T17:43:00,TWR-119,telecom_cdr.csv
9500923243,phone,IMEI-3208327507,IMSI-7648870743,2026-08-10T22:14:00,TWR-118,telecom_cdr.csv
9614873003,phone,IMEI-9543337149,IMSI-0980310371,2026-08-13T13:22:00,TWR-145,telecom_cdr.csv
9641643119,phone,IMEI-9263370349,IMSI-4083002667,2026-08-06T10:21:00,TWR-172,telecom_cdr.csv
9282096728,phone,IMEI-0338852094,IMSI-8039563622,2026-07-04T23:00:00,TWR-114,telecom_cdr.csv
9482868447,phone,IMEI-9645744869,IMSI-4659880035,2026-07-20T03:44:00,TWR-137,telecom_cdr.csv
9841230544,phone,IMEI-3688762066,IMSI-0985232117,2026-07-09T02:39:00,TWR-100,telecom_cdr.csv
9581891703,phone,IMEI-5852870877,IMSI-0584119856,2026-07-08T03:15:00,TWR-188,telecom_cdr.csv
9320016462,phone,IMEI-8797199572,IMSI-9747405916,2026-07-02T07:40:00,TWR-183,telecom_cdr.csv
9953419276,phone,IMEI-5346925695,IMSI-3961747123,2026-07-12T03:28:00,TWR-123,telecom_cdr.csv
9213633365,phone,IMEI-6550090413,IMSI-3490436468,2026-08-09T14:23:00,TWR-144,telecom_cdr.csv
9105343128,phone,IMEI-3567086541,IMSI-9854147217,2026-07-26T23:01:00,TWR-142,telecom_cdr.csv
9484655639,phone,IMEI-3302054243,IMSI-7587867528,2026-07-14T12:23:00,TWR-154,telecom_cdr.csv
9785939510,phone,IMEI-9982973259,IMSI-4386805117,2026-08-19T18:24:00,TWR-166,telecom_cdr.csv
9960574125,phone,IMEI-3834356980,IMSI-0974141228,2026-08-29T05:34:00,TWR-149,telecom_cdr.csv
9446485809,phone,IMEI-8567624422,IMSI-1677292965,2026-07-24T02:03:00,TWR-165,telecom_cdr.csv
9943604188,phone,IMEI-6668635297,IMSI-7520017429,2026-07-25T12:12:00,TWR-125,telecom_cdr.csv
9752820266,phone,IMEI-6368625769,IMSI-7937917527,2026-07-02T18:14:00,TWR-146,telecom_cdr.csv
9037548430,phone,IMEI-3229544495,IMSI-5683183539,2026-08-20T07:12:00,TWR-166,telecom_cdr.csv
9347052967,phone,IMEI-5448119712,IMSI-9901365634,2026-08-14T06:07:00,TWR-107,telecom_cdr.csv
9514716369,phone,IMEI-5142856644,IMSI-6005250896,2026-07-30T23:03:00,TWR-106,telecom_cdr.csv
9026954613,phone,IMEI-9561082774,IMSI-4696531085,2026-07-05T21:20:00,TWR-144,telecom_cdr.csv
9120335120,phone,IMEI-2330603798,IMSI-0031911878,2026-07-20T06:26:00,TWR-181,telecom_cdr.csv
9744055026,phone,IMEI-1615000391,IMSI-6960935422,2026-08-12T04:41:00,TWR-135,telecom_cdr.csv
9271253582,phone,IMEI-9510152690,IMSI-1089208945,2026-08-10T09:48:00,TWR-177,telecom_cdr.csv
9983671609,phone,IMEI-9158653821,IMSI-6422000383,2026-08-25T20:41:00,TWR-112,telecom_cdr.csv
9683847079,phone,IMEI-0600083514,IMSI-3429687054,2026-08-08T00:02:00,TWR-199,telecom_cdr.csv
9245911056,phone,IMEI-4589252588,IMSI-5987999575,2026-07-31T09:14:00,TWR-111,telecom_cdr.csv
9295361047,phone,IMEI-1434102396,IMSI-8150726368,2026-07-15T07:11:00,TWR-184,telecom_cdr.csv
9118141811,phone,IMEI-5728459382,IMSI-1499318085,2026-08-06T21:51:00,TWR-136,telecom_cdr.csv
