phone_number,upi_handle
9950712865,alexander71@upi
9626296040,yaminirout@upi
9432789553,vrinda42@upi
9202854808,yashasvi16@upi
9153514440,ldara@upi
9555807068,dnadkarni@upi
9781499194,sagarnathan@upi
9558401725,ldevi@upi
9481103002,rbakshi@upi
9024707036,keerpeter@upi
9640649508,amolpal@upi
9927033369,kalavarenya@upi
9641445280,urmigoswami@upi
9451525376,patelaadhya@upi
9368290911,nihalsoman@upi
9781338414,jalsa37@upi
9915684975,devansh61@upi
9738711379,yatin82@upi
9113894274,sbains@upi
9007836490,vamakshi87@upi
9692552797,bishakha20@upi
9988913278,hemallalla@upi
9552337763,thamansamarth@upi
9432473370,nnarayan@upi
9720831826,jhabhavya@upi
9620805495,iyerojasvi@upi
9562679527,mangatdhruv@upi
9413409595,meghanaamble@upi
9904845915,nayakwahab@upi
9569076123,jagat44@upi
9613879165,bakhshi28@upi
9106672436,choudharysaanvi@upi
9910619958,qedwin@upi
9636579261,neel90@upi
9706517113,hredhaan48@upi
9661970877,warhi15@upi
9723948025,eesha58@upi
9057062130,sathebaljiwan@upi
9251924510,ipandit@upi
9189008337,brarelijah@upi
9921873448,liamtrivedi@upi
9095950087,luke99@upi
9182010086,advik18@upi
9819729399,aachal27@upi
9327371243,mukhopadhyayjack@upi
9562254266,oni66@upi
9925397865,imani@upi
9886247321,uvasa@upi
9075020416,ikapoor@upi
9736840619,ikshitaissac@upi
9470138106,tbhardwaj@upi
9402438050,divya58@upi
9770490673,champak17@upi
9556214443,dhritiatwal@upi
9021337833,vaidyalogan@upi
9156490709,mohammedsavant@upi
9350335680,drai@upi
9528657624,dadachakradhar@upi
9120335120,patrickkuruvilla@upi
9001971594,dasguptabalendra@upi
9603424007,anthonybhasin@upi
9955420533,jeremiahmemon@upi
9804580401,yashica84@upi
9539773000,samraarunima@upi
9819709768,rgulati@upi
9081392335,kevindutt@upi
9232997749,nirja02@upi
9704583586,vasatika07@upi
9544975157,janinisha@upi
9290816302,tjha@upi
9971996767,ubika99@upi
9587463342,chanakyabala@upi
9260628721,zilmilvala@upi
9676650588,tanish61@upi
9025067408,qramanathan@upi
9213278016,rajagopalanvi@upi
9375742874,chaitanya83@upi
9597685625,bhavini64@upi
