phone_number,imei,imsi,timestamp,tower_id
9904220310,IMEI-2722872527,IMSI-2398195726,2026-08-08T19:22:00,TWR-156
9677217388,IMEI-8717105032,IMSI-9266491300,2026-07-21T07:06:00,TWR-143
9419499003,IMEI-4927002694,IMSI-4402857394,2026-08-19T07:30:00,TWR-106
9204871729,IMEI-9592712584,IMSI-1866308160,2026-08-16T20:53:00,TWR-154
9723948025,IMEI-0710359181,IMSI-0826371021,2026-07-27T22:23:00,TWR-168
9790275345,IMEI-7129712637,IMSI-2343745828,2026-07-21T01:40:00,TWR-177
9993223299,IMEI-5377169903,IMSI-7137375657,2026-07-10T11:27:00,TWR-113
9328566276,IMEI-4171456569,IMSI-4413361718,2026-08-16T03:09:00,TWR-171
9014685172,IMEI-5531176811,IMSI-1537511506,2026-07-31T08:03:00,TWR-130
9485267539,IMEI-9023724787,IMSI-3090571081,2026-08-23T23:25:00,TWR-128
9123825217,IMEI-7188595163,IMSI-9914575113,2026-07-29T13:09:00,TWR-137
9233839146,IMEI-6759945492,IMSI-2643409792,2026-08-18T09:02:00,TWR-120
9108252674,IMEI-8973790545,IMSI-4816752486,2026-08-26T17:53:00,TWR-131
9327371243,IMEI-0706366806,IMSI-9463467046,2026-07-08T21:45:00,TWR-111
9623701950,IMEI-1007524639,IMSI-3459351007,2026-07-01T20:43:00,TWR-143
9220969700,IMEI-2355180961,IMSI-2592684647,2026-08-09T04:45:00,TWR-161
9874249954,IMEI-4200352328,IMSI-3148847499,2026-08-27T20:28:00,TWR-149
9106672436,IMEI-7571316002,IMSI-9913913475,2026-08-26T10:28:00,TWR-105
9622739459,IMEI-2489524924,IMSI-8155071615,2026-07-05T23:47:00,TWR-165
9036057232,IMEI-9429354641,IMSI-9250384488,2026-07-27T22:46:00,TWR-164
9891712996,IMEI-2417841663,IMSI-9782591182,2026-07-11T20:57:00,TWR-191
9153514440,IMEI-2811772442,IMSI-9051485715,2026-07-09T14:54:00,TWR-189
9084209783,IMEI-7684964261,IMSI-7877783732,2026-07-04T18:25:00,TWR-122
9199646627,IMEI-8703526006,IMSI-2286385757,2026-08-04T00:47:00,TWR-107
9714322405,IMEI-2563370156,IMSI-2549786229,2026-08-05T09:02:00,TWR-176
9950712865,IMEI-7429481661,IMSI-9887989570,2026-08-11T17:40:00,TWR-173
9993223299,IMEI-5377169903,IMSI-7137375657,2026-07-20T06:28:00,TWR-199
9961618335,IMEI-5752734493,IMSI-8298823460,2026-07-15T23:26:00,TWR-125
9790275345,IMEI-7129712637,IMSI-2343745828,2026-08-01T18:55:00,TWR-102
9559321940,IMEI-7522970723,IMSI-5449490568,2026-08-21T19:31:00,TWR-182
9954882339,IMEI-9986404688,IMSI-6508308241,2026-07-07T18:42:00,TWR-162
9921873448,IMEI-5665790813,IMSI-0402416184,2026-08-02T04:59:00,TWR-124
9234395369,IMEI-6790078680,IMSI-6560719571,2026-08-22T21:09:00,TWR-102
9968318989,IMEI-2473063861,IMSI-6996267363,2026-08-15T15:51:00,TWR-196
9127967516,IMEI-2146882817,IMSI-9733129100,2026-07-09T21:12:00,TWR-118
9965191353,IMEI-5893787421,IMSI-6214960586,2026-07-22T19:41:00,TWR-115
9859713678,IMEI-7927657928,IMSI-4020734838,2026-07-04T22:15:00,TWR-193
9098713669,IMEI-0583990102,IMSI-7629708285,2026-07-10T18:09:00,TWR-163
9350335680,IMEI-5155214360,IMSI-3276562475,2026-07-22T23:25:00,TWR-120
9763462687,IMEI-0158770989,IMSI-9062509835,2026-08-28T06:13:00,TWR-132
9420863611,IMEI-4537963191,IMSI-3558536002,2026-08-29T09:12:00,TWR-199
9323687193,IMEI-3470857301,IMSI-1027718079,2026-07-23T02:38:00,TWR-156
9200234695,IMEI-3610403394,IMSI-1168400464,2026-07-08T02:18:00,TWR-116
9594924991,IMEI-3630121292,IMSI-8018351121,2026-08-28T01:14:00,TWR-114
9468349143,IMEI-3914369758,IMSI-1719948146,2026-08-14T21:39:00,TWR-171
9198393549,IMEI-3816300190,IMSI-6270974989,2026-08-19T07:28:00,TWR-103
9480993572,IMEI-2381321447,IMSI-8222237676,2026-07-16T14:42:00,TWR-181
9814488986,IMEI-8402450836,IMSI-9997976132,2026-08-23T15:25:00,TWR-193
9872663192,IMEI-6090316066,IMSI-6630000599,2026-08-07T13:56:00,TWR-100
9052248897,IMEI-9323304340,IMSI-9102154726,2026-07-23T04:16:00,TWR-143
9428025968,IMEI-5595534505,IMSI-3593963620,2026-07-07T03:30:00,TWR-138
9210244612,IMEI-6189465100,IMSI-7205358651,2026-07-02T18:46:00,TWR-124
9683509307,IMEI-2052204318,IMSI-5650646676,2026-08-13T13:32:00,TWR-108
9188180702,IMEI-9453874896,IMSI-7885652348,2026-08-03T08:55:00,TWR-188
9563850020,IMEI-6954138012,IMSI-9172128616,2026-07-21T11:06:00,TWR-171
9666442915,IMEI-0804775625,IMSI-2115641857,2026-08-17T17:11:00,TWR-122
9432789553,IMEI-7581615382,IMSI-6059787584,2026-07-28T23:28:00,TWR-169
9943604188,IMEI-6668635297,IMSI-7520017429,2026-07-13T17:43:00,TWR-119
9500923243,IMEI-3208327507,IMSI-7648870743,2026-08-10T22:14:00,TWR-118
9614873003,IMEI-9543337149,IMSI-0980310371,2026-08-13T13:22:00,TWR-145
9641643119,IMEI-9263370349,IMSI-4083002667,2026-08-06T10:21:00,TWR-172
9282096728,IMEI-0338852094,IMSI-8039563622,2026-07-04T23:00:00,TWR-114
9482868447,IMEI-9645744869,IMSI-4659880035,2026-07-20T03:44:00,TWR-137
9841230544,IMEI-3688762066,IMSI-0985232117,2026-07-09T02:39:00,TWR-100
9581891703,IMEI-5852870877,IMSI-0584119856,2026-07-08T03:15:00,TWR-188
9320016462,IMEI-8797199572,IMSI-9747405916,2026-07-02T07:40:00,TWR-183
9953419276,IMEI-5346925695,IMSI-3961747123,2026-07-12T03:28:00,TWR-123
9213633365,IMEI-6550090413,IMSI-3490436468,2026-08-09T14:23:00,TWR-144
9105343128,IMEI-3567086541,IMSI-9854147217,2026-07-26T23:01:00,TWR-142
9484655639,IMEI-3302054243,IMSI-7587867528,2026-07-14T12:23:00,TWR-154
9785939510,IMEI-9982973259,IMSI-4386805117,2026-08-19T18:24:00,TWR-166
9960574125,IMEI-3834356980,IMSI-0974141228,2026-08-29T05:34:00,TWR-149
9446485809,IMEI-8567624422,IMSI-1677292965,2026-07-24T02:03:00,TWR-165
9943604188,IMEI-6668635297,IMSI-7520017429,2026-07-25T12:12:00,TWR-125
9752820266,IMEI-6368625769,IMSI-7937917527,2026-07-02T18:14:00,TWR-146
9037548430,IMEI-3229544495,IMSI-5683183539,2026-08-20T07:12:00,TWR-166
9347052967,IMEI-5448119712,IMSI-9901365634,2026-08-14T06:07:00,TWR-107
9514716369,IMEI-5142856644,IMSI-6005250896,2026-07-30T23:03:00,TWR-106
9026954613,IMEI-9561082774,IMSI-4696531085,2026-07-05T21:20:00,TWR-144
9120335120,IMEI-2330603798,IMSI-0031911878,2026-07-20T06:26:00,TWR-181
9744055026,IMEI-1615000391,IMSI-6960935422,2026-08-12T04:41:00,TWR-135
9271253582,IMEI-9510152690,IMSI-1089208945,2026-08-10T09:48:00,TWR-177
9983671609,IMEI-9158653821,IMSI-6422000383,2026-08-25T20:41:00,TWR-112
9683847079,IMEI-0600083514,IMSI-3429687054,2026-08-08T00:02:00,TWR-199
9245911056,IMEI-4589252588,IMSI-5987999575,2026-07-31T09:14:00,TWR-111
9295361047,IMEI-1434102396,IMSI-8150726368,2026-07-15T07:11:00,TWR-184
9118141811,IMEI-5728459382,IMSI-1499318085,2026-08-06T21:51:00,TWR-136
9973381637,IMEI-4477037948,IMSI-0565775093,2026-08-29T12:44:00,TWR-144
9814631059,IMEI-4248529289,IMSI-4803891302,2026-07-23T12:12:00,TWR-167
9075311300,IMEI-4408601965,IMSI-9308588860,2026-07-05T19:52:00,TWR-148
9655734481,IMEI-8354977365,IMSI-9857964228,2026-07-15T05:45:00,TWR-121
9521573651,IMEI-7083136462,IMSI-2216591960,2026-08-08T05:30:00,TWR-120
